OID_,Nimi,Namn,OLOTILA,TOIMENPIDE,PAIVITTAJA,PAIVITYSAJ,TYYPPI,NIMISTOLAJ,TALLENNUSA,LUOKKA,TALLENTAJA,GlobalID,x,y,Kunta
1349,Piikkikuja,Pikgränden,1, ,ritva.myyrylainen@vantaa.fi,7/3/2019 0:00,katu,Katu,,433, ,{6D53882A-4CAB-4ECB-8DE2-51AC7AE5DDF8},379818.2674,6682156.745,Vantaa
1350,Latoniitynoja,Laduängsbäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{3EE5EA74-139C-41B9-AA10-33CA15EFA1A3},384028.6602,6689440.585,Vantaa
1351,Pähkinänkuori,Nötskalet,1, ,ritva.myyrylainen@vantaa.fi,7/3/2019 0:00,katu,Katu,,433, ,{FECCD466-BF0F-415D-BD9B-A513A25F5E73},378700.7091,6682833.776,Vantaa
1352,Kissankäpäläntie,Kattfotsvägen,1, ,ritva.myyrylainen@vantaa.fi,9/27/2019 0:00,katu,Katu,,433, ,{18F34D6E-04AE-4334-A583-2E28A3AC65C5},390877.0765,6687498.435,Vantaa
1353,Sammalleimunpuisto,Mossfloxparken,1, ,eeva.seppanen,3/27/2014 0:00,rakennettu luonnonkohde,puisto,3/27/2014 0:00,433,eeva.seppanen,{6A81F719-D3D3-4DE7-8A17-58FD2E12790D},390747.4791,6687193.55,Vantaa
1354,Hallapolku,Froststigen,1, ,ritva.myyrylainen@vantaa.fi,7/17/2019 0:00,katu,pihakatu,,433, ,{F5ED1DEE-6045-441C-B836-44AB0A52EFB7},384633.4166,6693192.126,Vantaa
1355,Pudaskuja,Ågrensgränden,1, ,ritva.myyrylainen@vantaa.fi,9/20/2019 0:00,katu,Katu,,433, ,{E3968729-0D8D-45BD-A684-3E0327E13EAB},380867.9523,6682739.273,Vantaa
1356,Syvännepolku,Djupstigen,1, ,ritva.myyrylainen@vantaa.fi,9/11/2019 0:00,muu,jalankulku,,433, ,{B01686AB-5B47-4628-9A79-449FBA67F59A},380937.0451,6683133.904,Vantaa
1357,Kastemadonkuja,Daggmaskgränden,1, ,ritva.myyrylainen@vantaa.fi,6/7/2019 0:00,katu,Katu,,433, ,{6632E289-F9DC-4FB3-B583-176253A46EE8},397699.3572,6690451.608,Vantaa
1358,Pukkipolku,Bockstigen,1, ,ritva.myyrylainen@vantaa.fi,9/26/2019 0:00,katu,Katu,,433, ,{641AA578-2F3E-4681-BD54-37F37297261E},384696.8524,6685206.266,Vantaa
1359,Siilireitti,Igelkottsrutten,1, , ,,katu,Katu,,433, ,{B8C7FE97-1955-4B01-BA08-FC6298F396AB},394605.3055,6691498.146,Vantaa
1360,Kenttäpolku,Fältstigen,1, ,ritva.myyrylainen@vantaa.fi,9/13/2019 0:00,katu,Katu,,433, ,{6B7ECD33-1B33-4BAE-A7DE-95489CCC7E00},389837.3471,6690210.762,Vantaa
1361,Lunnitie,Lunnevägen,1, ,ritva.myyrylainen@vantaa.fi,9/23/2019 0:00,katu,Katu,,433, ,{103BC69C-5321-420E-B4D9-637925496E9A},392329.2137,6692345.564,Vantaa
1362,Mahlapolku,Savstigen,1, ,ritva.myyrylainen@vantaa.fi,7/17/2019 0:00,katu,Katu,,433, ,{EF220C4E-8B6B-4AA3-9017-2BE049331D98},383229.9906,6688979.332,Vantaa
1363,Turvalaaksonpolku,Säkerhetsdalsstigen,4, ,ritva.myyrylainen@vantaa.fi,8/31/2020 0:00,muu,jalankulku,,433, ,{107DA258-38C3-4237-8288-3B34C3DEF27C},383529.4568,6686560.787,Vantaa
1364,Silvolan yritysalue,Silvola företagsområde,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{B63B46F2-B793-4EDA-AA76-DD19C0D0E998},382572.785,6683157.314,Vantaa
1365,Teknikontie,Teknikervägen,1, ,tarja.itatalo@vantaa.fi,12/28/2020 0:00,katu,Katu,,433, ,{A457E3D2-82F6-4CB2-8BED-D0D1E226006A},387316.2801,6687539.315,Vantaa
1366,Leipäuuninpolku,Brödugnsstigen,1, , ,,muu,  Ei määritetty,,433, ,{3CBA17B4-F450-4663-9809-DAD292E3FD83},393073.5901,6691451.611,Vantaa
1367,Vierumäenoja,Vierumäkibäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{5D99C1C8-6EC4-4F43-B4AC-D5F5D2C96C25},391637.687,6693540.603,Vantaa
1368,Kuuratie,Rimfrostvägen,1, ,ritva.myyrylainen@vantaa.fi,10/24/2019 0:00,katu,Katu,,433, ,{F12C2024-0ABA-4824-B63D-ACD213DFCF62},390490.897,6689218.861,Vantaa
1369,Vahakuja,Vaxgränden,1, ,tarja.itatalo@vantaa.fi,12/22/2020 0:00,katu,Katu,,433, ,{6D054680-8FB0-4DA3-9254-81610393324D},396423.0969,6688150.354,Vantaa
1370,Syystuulentie,Höstvindsvägen,1, ,ritva.myyrylainen@vantaa.fi,7/17/2019 0:00,katu,pihakatu,,433, ,{2B0A81B4-45E3-4D92-BFAD-123F566E45F5},384690.6207,6693411.371,Vantaa
1371,Pikkukontionpolku,Lillbjörnsstigen,1, ,ritva.myyrylainen@vantaa.fi,12/3/2019 0:00,muu,jalankulku,,433, ,{CB5586A9-F4F2-4252-A063-F3BC1FBD92BA},394797.8451,6692931.27,Vantaa
1372,Viisukuja,Visgränden,1, ,ritva.myyrylainen@vantaa.fi,10/10/2019 0:00,katu,Katu,,433, ,{A8C317FA-3196-45D5-A1EB-366FEFFF05AA},391122.2316,6690783.734,Vantaa
1373,Ahtimäentie,Ahtibackavägen,1, ,tarja.itatalo@vantaa.fi,12/15/2020 0:00,katu,Katu,,433, ,{38F4A4E8-CE0D-4062-BCB6-7DF6E152E41A},376936.6092,6690464.837,Vantaa
1374,Bölenpolku,Bölestigen,1, ,ritva.myyrylainen@vantaa.fi,4/8/2020 0:00,muu,jalankulku,,433, ,{B72378E6-B1F5-4DE8-ACA0-D366B744EE34},379128.2299,6684460.353,Vantaa
1375,Norpanpiha,Vikaregården,1, ,ritva.myyrylainen@vantaa.fi,7/17/2019 0:00,katu,pihakatu,,433, ,{5E429B33-6C9C-4EA1-A2E6-627DD370A50F},395455.3805,6692823.835,Vantaa
1376,Liesipolku,Eldstadsstigen,1, ,ritva.myyrylainen@vantaa.fi,9/11/2019 0:00,muu,jalankulku,,433, ,{353F85F2-CC17-4892-B417-570A3D921105},381320.8609,6682631.066,Vantaa
1377,Oräddersinoja,Oräddersbäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{6D40EF23-1F81-4D3A-B0EB-E1C5F15A61D6},392590.8546,6684671.893,Vantaa
1378,Käräjäkuja,Tingsgränden,1, ,ritva.myyrylainen@vantaa.fi,9/20/2019 0:00,katu,Katu,,433, ,{B6287999-FC1D-43E3-94CB-9E298E76A7CF},386517.5227,6685148.975,Vantaa
1379,Riskilätie,Grisslavägen,1, , ,,katu,Katu,,433, ,{8AC4DFE8-DE30-44F8-8F42-C055A6B0F687},392367.0871,6692560.271,Vantaa
1380,Maarinkunnas,Markulla,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{CD652B8F-F69D-47FA-B217-ECB3B18532B7},393138.2445,6685637.488,Vantaa
1381,Kvartsijuonenkuja,Kvartsådersgränden,1, , ,,katu,Katu,,433, ,{820A3B18-76FA-4E99-8DF3-55A40524B1A5},381665.1029,6689176.221,Vantaa
1382,Ison-Petaksen tie,Storpetasvägen,1, ,tarja.itatalo@vantaa.fi,12/18/2020 0:00,katu,Katu,,433, ,{EAE07729-C651-4BD0-8E17-BD7713391442},394548.6873,6687786.137,Vantaa
1383,Tuomelantie,Tuomelavägen,1, ,tarja.itatalo@vantaa.fi,12/29/2020 0:00,katu,Katu,,433, ,{92472D24-985F-4C67-A11A-6A3B57BF86D6},377350.4926,6682865.524,Vantaa
1384,Kivimäki,Stenbacka,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{BE1FCBD2-5706-4063-BFF3-BDD201FBB186},381612.6987,6684843.81,Vantaa
1385,Lupiinitie,Lupinvägen,1, ,ritva.myyrylainen@vantaa.fi,9/27/2019 0:00,katu,Katu,,433, ,{02A60F54-23BF-4747-A680-7F5326F4BF36},390393.3683,6687857.4,Vantaa
1386,Sinttioja,Firrbäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{C2FB7E45-F2B3-4B98-80B6-C7A3A39CDF83},397250.469,6692079.999,Vantaa
1387,Tikkurilan Kassatalo,Tikkurilan Kassatalo,1, ,tarja.itatalo@vantaa.fi,12/30/2020 0:00,rakennuskohde,Rakennuksiin liittyvät nimet,,433, ,{C40CED7E-5AE0-425C-9E14-FA45AC9E053A},391821.8549,6685600.4,Vantaa
1388,Ruusukvartsinkuja,Rosenkvartsgränden,1, ,ritva.myyrylainen@vantaa.fi,5/23/2019 0:00,katu,Katu,,433, ,{F21EB0E7-613F-4698-B662-1B753438A267},381190.398,6688728.803,Vantaa
1389,Tammikujanmetsikkö,Ekgrändsdungen,1, ,ritva.myyrylainen,10/11/2017 0:00,katu,Viheralue,10/11/2017 0:00,433,ritva.myyrylainen,{EE825D98-F7FC-4A41-B70A-EE50A27A3B0A},392176.3038,6688802.415,Vantaa
1390,Rajakoski,Råfors,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{549BAC45-B4EC-4442-918F-814425153DCF},382254.9758,6697406.217,Vantaa
1391,Hippapolku,Natastigen,1, ,ritva.myyrylainen@vantaa.fi,4/14/2020 0:00,muu,jalankulku,,433, ,{0D3E281E-DC7B-4088-B783-E200ED64C233},390599.5757,6689789.356,Vantaa
1392,Karhunrannanoja,Björnstrandsbäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{808A8E32-0887-40E5-A22B-DE3D655A6680},393286.5873,6686505.162,Vantaa
1393,Ylermintie,Ylermivägen,1, ,ritva.myyrylainen@vantaa.fi,1/8/2020 0:00,katu,Katu,,433, ,{0D4CB295-9677-4BF4-A5F1-00D89F55A146},395466.7105,6688389.405,Vantaa
1394,Vanha Rekolantie,Gamla Räckhalsvägen,1, , ,,katu,Katu,,433, ,{38BAE44D-C853-461E-8096-DC172E43DAE4},393346.7853,6688324.699,Vantaa
1395,Niittypolku,Ängsstigen,1, ,ritva.myyrylainen@vantaa.fi,11/19/2019 0:00,katu,Katu,,433, ,{345AD5B0-D929-4CBD-9D92-AA5603E9F710},378866.6928,6683770.602,Vantaa
1396,Kytöladonoja,Kytölatobäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{59823F34-718A-4F30-89E8-81F384A3178F},392781.2831,6693980.988,Vantaa
1397,Marjastajankallio,Bärplockarberget,1, ,Konversio,12/1/2011 0:00,rakennettu luonnonkohde,Puisto,11/26/2008 0:00,433, ,{AF27DDCC-B257-4585-ABA5-B7F06BF16B04},384539.2571,6685361.559,Vantaa
1398,Mäntykuja,Tallgränden,1, ,tarja.itatalo@vantaa.fi,12/22/2020 0:00,katu,Katu,,433, ,{6D112E9D-45DF-4BDC-AB5A-29F3161A5935},381551.253,6694388.866,Vantaa
1399,Hakalehdonkuja,Hagalundsgränden,1, ,tarja.itatalo@vantaa.fi,12/15/2020 0:00,katu,Katu,,433, ,{6E56E2D9-3BC2-4BB7-9678-6A0AEBF9AD7E},393801.1259,6686526.061,Vantaa
1400,Rouskukuja,Riskagränden,1, ,ritva.myyrylainen@vantaa.fi,10/22/2019 0:00,katu,Katu,,433, ,{4C40ED15-C993-43CC-93DF-97BBCC6563F6},385524.1476,6684652.647,Vantaa
1401,Sarakuja,Starrgränden,1, ,ritva.myyrylainen@vantaa.fi,10/3/2019 0:00,katu,Katu,,433, ,{16959B6B-92DB-4533-B1E6-6B676317D221},390768.3829,6685295.503,Vantaa
1402,Rajatorppa,Råtorp,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{AD11C2B7-520A-4918-97C6-8B5C099850A6},380075.1179,6682131.796,Vantaa
1403,Elmon urheilupuisto,Elmo idrottspark,1, , ,,muu,urheilualue (kentät),,433, ,{7040D561-6072-45CE-A8E9-77ADDD812385},393068.5035,6690756.626,Vantaa
1404,Varikkopolku,Depåstigen,1, , ,,muu,jalankulku,,433, ,{365F4061-8DB9-4895-9DFE-42DEC3BC2FB9},380113.2582,6689160.29,Vantaa
1405,Vaapukkapolku,Hallonstigen,1, ,ritva.myyrylainen@vantaa.fi,8/22/2019 0:00,katu,pihakatu,,433, ,{9952DEB9-513A-4D53-9F6F-1FECD413987C},385191.2513,6684761.528,Vantaa
1406,Ukonpolku,Högstigen,1, ,tarja.itatalo@vantaa.fi,12/29/2020 0:00,katu,Katu,,433, ,{C5050B77-71A2-40C4-8DD4-11A9A4C9C6ED},397671.0718,6684275.149,Vantaa
1407,Tulvaniitynkuja,Skobbängsgränden,4, , ,,muu,jalankulku,,433, ,{C8393164-742C-4A97-A9F6-28A9528A1AB0},377333.8749,6684190.393,Vantaa
1408,Solmu,Knuten,1, ,ritva.myyrylainen@vantaa.fi,7/3/2019 0:00,katu,Katu,,433, ,{3FA448BA-3874-4615-B48E-26C0A0B4EC0D},379017.8545,6682664.005,Vantaa
1409,Suvanto,Lugnvattnet,1, ,ritva.myyrylainen@vantaa.fi,9/20/2019 0:00,muu,jalankulku,,433, ,{8D388BEE-73FD-4B02-8FE7-A70687F8F286},380896.0447,6682832.648,Vantaa
1410,Viinimarjakuja,Vinbärsgränden,1, ,ritva.myyrylainen@vantaa.fi,9/10/2019 0:00,katu,Katu,,433, ,{0E3683BF-3AB7-4528-AF16-3DBCBCF7ABF7},384477.9908,6684093.436,Vantaa
1411,Kellopuisto,Klockparken,1, , ,,rakennettu luonnonkohde,puisto,,433, ,{64ECAC0F-034D-4C0D-BB6E-B21CE2893814},393570.6624,6688549.953,Vantaa
1412,Varpusenkuja,Sparvgränden,1, ,ritva.myyrylainen@vantaa.fi,10/10/2019 0:00,katu,Katu,,433, ,{A7CB866F-F13E-4F5E-911F-C1FC796A4301},393594.3022,6693801.512,Vantaa
1413,Aarnenkuja,Aarnegränden,1, , ,,katu,Katu,,433, ,{B408D30C-FC0F-435B-87F8-791CCA0C3E15},394559.994,6689774.183,Vantaa
1414,Päärynärinne,Päronbrinken,1, ,tarja.itatalo@vantaa.fi,12/30/2020 0:00,katu,pihakatu,,433, ,{F2A5DC98-E71B-4835-A185-939EB39F1F93},390381.1559,6688444.956,Vantaa
1415,Siltamäen kivisilta,Brobacka stenbro,1, , ,,muu,kevyen liik. sillat ja eritasot,,433, ,{B0A4F799-1FBC-4026-AAF3-645DA5367A20},388019.7106,6683214.189,Vantaa
1416,Kivipellontie,Stenåkersvägen,1, ,ritva.myyrylainen@vantaa.fi,1/7/2021 0:00,katu,Katu,,433, ,{89F77509-DE6B-4E45-ACE3-F5FD2F0E3974},380478.9039,6689891.667,Vantaa
1417,Huberinpolku,Hubers stig,1, , ,,katu,Katu,,433, ,{E3C9D2B4-3365-4AF1-BA42-DE5C2C28B4E4},387646.8985,6686224.137,Vantaa
1418,Mäntymäki,Tallbacken,1, ,tarja.itatalo@vantaa.fi,12/22/2020 0:00,katu,Katu,,433, ,{F6AC22BE-2AB2-4503-8B2D-4D4F684D5B12},381577.8058,6694427.309,Vantaa
1419,Vaaralankuja,Fagerstagränden,1, ,ritva.myyrylainen@vantaa.fi,10/1/2019 0:00,katu,Katu,,433, ,{BF0A93EA-E478-41BC-A7DA-69E4C385AAEF},394634.451,6682335.778,Vantaa
1420,Pitkäkoskensilta,Långforsbron,1, ,tarja.itatalo@vantaa.fi,12/11/2020 0:00,muu,kevyen liik. sillat ja eritasot,,433, ,{BEC40BB7-1403-4E5D-A76A-7DF233C15C1A},383724.1705,6683194.416,Vantaa
1421,Polkkakuja,Polkastigen,1, ,ritva.myyrylainen@vantaa.fi,6/2/2020 0:00,katu,Katu,,433, ,{6F783AA9-31E6-4625-84C8-08E3161E4884},391163.5082,6689798.448,Vantaa
1422,Pirttirannantie,Pirttirantavägen,1, ,tarja.itatalo@vantaa.fi,12/22/2020 0:00,katu,Katu,,433, ,{5682A7B6-3E85-4FFE-BD0C-B704E3A99526},381596.2376,6692803.686,Vantaa
1423,Harjusuo,Harjusuo,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{BF0B27A9-706B-4BE5-BEB3-1FB5DDD1FC0B},390323.3314,6688824.51,Vantaa
1424,Hiiripolku,Mösstigen,1, ,ritva.myyrylainen@vantaa.fi,6/16/2020 0:00,katu,Katu,,433, ,{A1FD495F-812B-429E-801E-9A49246DF7E2},391088.5267,6688131.086,Vantaa
1425,Vantaanmetsänoja,Vandaskogsbäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{103931C3-0094-46CF-A762-08F60E294201},382209.6614,6697198.545,Vantaa
1426,Rakuunatie,Dragonvägen,1, ,ritva.myyrylainen@vantaa.fi,6/18/2019 0:00,katu,Katu,,433, ,{AFD889ED-5E86-407D-BF44-F9E9C6640163},381224.7462,6689785.703,Vantaa
1427,Loimaankoivunpuisto,Fransbjörksparken,1, , ,,rakennettu luonnonkohde,puisto,11/25/2015 0:00,433,ritva.myyrylainen,{ED8458B3-8ADE-4501-84E8-F3E466B9DE61},377473.4605,6686121.839,Vantaa
1428,Rajasilta,Råbro,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{267F18DE-0C4A-466C-AEFE-4DEEECFBD004},382256.9702,6690024.462,Vantaa
1429,Peitsikuja,Lansgränden,1, ,ritva.myyrylainen@vantaa.fi,7/16/2019 0:00,katu,Katu,,433, ,{B1B91DAE-D0DC-4722-A6B6-551BD106702F},381564.0658,6689805.591,Vantaa
1430,Jukolankuja,Jukolagränden,1, ,tarja.itatalo@vantaa.fi,12/18/2020 0:00,katu,Katu,,433, ,{F826A8A8-49E9-4A08-A825-34B055D6C4BA},378710.5476,6694968.682,Vantaa
1431,Kilterinpolku,Gillerstigen,1, ,ritva.myyrylainen@vantaa.fi,9/11/2019 0:00,muu,jalankulku,,433, ,{4ECCD4FA-C566-4ABF-B4C0-C33D0B2F0782},381187.2749,6682053.465,Vantaa
1432,Palikkapolku,Klabbstigen,1, ,tarja.itatalo@vantaa.fi,12/22/2020 0:00,katu,Katu,,433, ,{2C9D7807-B5C4-47DE-A7FB-8A266DE90D5B},376130.1903,6690304.305,Vantaa
1433,Tväran,Tväran,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{BE8E5978-F426-44F9-B988-B63F87B70A26},387854.9353,6682596.053,Vantaa
1434,Nauriskuja,Rovgränden,4, , ,,katu,Katu,,433, ,{513F0C63-25A9-4929-8BBF-1B44E6F783CD},392207.5746,6687468.08,Vantaa
1435,Firanoja,Firabäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{18771F28-8FA4-42CF-AC1C-35DA2F0FBBEB},391366.7372,6694301.982,Vantaa
1436,Sumapolku,Timmerbrötsstigen,1, , ,,muu,jalankulku,,433, ,{D644F95D-5A13-4EC5-83C5-860ED673F6BA},377484.3943,6684799.977,Vantaa
1437,Sarinpolku,Saristigen,1, , ,,muu,jalankulku,,433, ,{B5511007-2B6B-418F-B5CA-5C523A10F542},394776.8289,6690327.713,Vantaa
1438,Pinokuja,Vedtravsgränden,1, ,ritva.myyrylainen@vantaa.fi,9/23/2019 0:00,katu,Katu,,433, ,{DEF7E683-7F9F-4421-96B6-227343F1389E},377299.5556,6685509.203,Vantaa
1439,Beryllikuja,Beryllgränden,2, ,tarja.itatalo@vantaa.fi,6/5/2024 0:00,katu,Katu,,433, ,{A4AD64B1-8379-416C-AA02-6FA2B327A0C0},381053.0569,6687992.511,Vantaa
1440,Odilammenoja,Odilampibäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{38168C47-B4D9-40F7-9080-B9A20F79F0C8},376682.107,6688391.18,Vantaa
1441,Rastaskuja,Trastgränden,1, , ,,katu,Katu,,433, ,{4A0544A4-801C-4707-B501-FF01408ECCA7},394373.1318,6693899.663,Vantaa
1442,Tädyketie,Ärenprisvägen,1, ,ritva.myyrylainen@vantaa.fi,10/3/2019 0:00,katu,Katu,,433, ,{1EA74BEF-8AC8-4198-95E7-62ED30C925DD},391040.0657,6685420.377,Vantaa
1443,Herttuankäytävä,Hertiggången,1, , ,,muu,jalankulku,,433, ,{5527D65E-BB1D-4D78-A739-A3F15707D0CF},387374.167,6684586.055,Vantaa
1444,Kotkansiipi,Örnvingen,1, , ,,katu,Katu,,433, ,{571A828C-6A4B-4912-AF1A-BB5B0B2B572C},393736.839,6692114.619,Vantaa
1445,Hellevinpolku,Hellevistigen,1, ,ritva.myyrylainen@vantaa.fi,9/13/2019 0:00,katu,Katu,,433, ,{72B0DF2C-7705-445D-9B9C-4FF3AA50B67A},395139.7448,6689702.25,Vantaa
1446,Korjamäki,Korjamäki,1, ,tarja.itatalo@vantaa.fi,12/14/2020 0:00,muu,"Opastuksellinen alue (kaup.osa, osa-alue ym.)",,433, ,{E111ECD6-C587-4550-80E5-1D8238EA61AA},378342.9036,6692392.766,Vantaa
1447,Ilmakehä,Luftleden,1, ,ritva.myyrylainen@vantaa.fi,9/4/2019 0:00,katu,Katu,,433, ,{1B7D4F5A-283C-42AE-9262-30A06EE5B33E},388822.0255,6686670.302,Vantaa
1448,Ensimmäinensavu,Första röken,1, ,ritva.myyrylainen@vantaa.fi,11/20/2019 0:00,katu,Katu,,433, ,{5C6BB2C0-0AFA-4E69-9DC8-120AA0C78E72},386514.4603,6686349.862,Vantaa
1449,Putouskuja,Fallgränden,1, ,ritva.myyrylainen@vantaa.fi,9/11/2019 0:00,katu,Katu,,433, ,{DAE1CD34-345C-43F2-B9F7-13714D8958FE},380902.5195,6683117.472,Vantaa
1450,Marsurinne,Marsvinsbrinken,1, ,ritva.myyrylainen@vantaa.fi,7/17/2019 0:00,katu,Katu,,433, ,{9762D588-5CDD-4550-AE8C-FC59F8CAD754},395372.6606,6691570.012,Vantaa
1451,Ahopolku,Svedjestigen,1, ,ritva.myyrylainen@vantaa.fi,7/5/2019 0:00,muu,jalankulku,,433, ,{488BC532-C05B-4960-99E1-8D3EAFA0CE91},384531.1072,6684618.523,Vantaa
1452,Ilmailukuja,Luftfartsgränden,1, ,tarja.itatalo@vantaa.fi,12/18/2020 0:00,katu,Katu,,433, ,{DFB0EF16-C5B3-4384-9BDC-95F159BE4DD7},387868.8366,6687890.158,Vantaa
1453,Aurinkokivenpiha,Solstensgården,1, ,sirpa.glad,5/5/2015 0:00,rakennettu luonnonkohde,"tori, katuaukio",2/4/2014 0:00,433,eeva.seppanen,{E04DADF3-B673-4536-BD1E-84B3865CC8C5},381242.6098,6688821.791,Vantaa
1454,Tuohikkokuja,Näverskäppsgränden,1, ,tarja.itatalo@vantaa.fi,12/28/2020 0:00,katu,Katu,,433, ,{81280E75-1DB6-46C4-87C4-6CD6EA801C77},377907.1387,6685589.056,Vantaa
1455,Ylerminpolku,Ylermistigen,1, ,ritva.myyrylainen@vantaa.fi,1/8/2020 0:00,muu,jalankulku,,433, ,{0104BC7C-98C1-44B3-83B3-E9ABB69FF1DA},395219.0575,6688373.786,Vantaa
1456,Kivioja,Stenbäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{A02C7AFC-F6E3-410A-8A41-4BA010A5B37F},383635.8958,6685560.625,Vantaa
1457,Valkoinenoja,Vitbäcken,1, ,tarja.itatalo@vantaa.fi,12/10/2020 0:00,vesistökohde,Vesistöön liityvät nimet,,433, ,{05EA5F02-B91D-4042-9575-DD1D4312882C},393561.4234,6686629.852,Vantaa
1458,Peippopolku,Bofinksstigen,1, , ,,muu,jalankulku,,433, ,{D5C88C81-81F5-42A2-8864-76EC6EA12D57},393764.1052,6694265.218,Vantaa
1459,Harjukuja,Åsgränden,1, ,ritva.myyrylainen@vantaa.fi,4/24/2020 0:00,katu,Katu,,433, ,{8049FC9E-7689-49D4-87FA-862B6CA732A7},389612.2442,6688793.527,Vantaa
1460,Kenttärinne,Fältbrinken,1, ,ritva.myyrylainen@vantaa.fi,10/10/2019 0:00,katu,Katu,,433, ,{FCADF502-EA64-43FA-8882-47B40D15AC62},390074.0094,6690220.296,Vantaa
1461,Yhteismaanoja,Allmänningsbäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{C1995F9A-903D-440F-8AD5-0A991DF73C06},377920.9361,6683033.315,Vantaa
1462,Pukkivuorenpolku,Bockbergsstigen,1, ,ritva.myyrylainen@vantaa.fi,9/26/2019 0:00,muu,jalankulku,,433, ,{8CC3668E-DCA5-4EBA-BC74-E4E7537232DE},384649.2012,6685353.319,Vantaa
1463,Osmanranta,Kaveldunsstranden,1, ,ritva.myyrylainen@vantaa.fi,2/10/2020 0:00,katu,Katu,,433, ,{BF7030C3-9652-4A83-9034-69EDEAB30485},390344.9745,6686140.738,Vantaa
1464,Spanskintie,Spanskisvägen,1, ,ritva.myyrylainen@vantaa.fi,5/23/2019 0:00,katu,Katu,,433, ,{4933EE88-6DB7-4775-A435-9B399E8F3EC3},386217.0191,6685853.725,Vantaa
1465,Kairapolku,Navarstigen,1, ,ritva.myyrylainen@vantaa.fi,6/9/2020 0:00,muu,jalankulku,,433, ,{7BA00C40-4875-4B0B-9902-15FC01243203},379420.5919,6682559.336,Vantaa
1466,Elmonaukio,Elmoplatsen,1, , ,,muu,"tori, katuaukio",,433, ,{3BC63ABD-AEFB-4089-829C-95C717A7CF0E},393138.4779,6690623.476,Vantaa
1467,Turbiinikuja,Turbingränden,1, ,tarja.itatalo@vantaa.fi,12/28/2020 0:00,katu,Katu,,433, ,{EBBA9394-5E9C-444F-A212-BAACBD85E185},387073.4706,6687370.277,Vantaa
1468,Pudaspolku,Ågrensstigen,1, ,ritva.myyrylainen@vantaa.fi,1/8/2020 0:00,muu,jalankulku,,433, ,{D94A5BF0-6289-45C8-8ED9-1DEBE1738CF6},380909.5874,6682754.027,Vantaa
1469,Sointukuja,Klanggränden,1, ,ritva.myyrylainen@vantaa.fi,10/10/2019 0:00,katu,Katu,,433, ,{BD610EC6-E3BC-40B1-B9C8-9753BE6789E8},391139.4496,6690670.826,Vantaa
1470,Mailatie,Bollträvägen,1, ,ritva.myyrylainen@vantaa.fi,8/27/2019 0:00,katu,Katu,,433, ,{AA3160F1-3D36-4250-8A69-53B9A0F2DF0F},394292.6253,6680462.261,Vantaa
1471,Viinikanmetsänoja,Vinikskogsbäcken,1, , ,,vesistökohde,Vesistöön liityvät nimet,,433, ,{6A82E8E9-74E7-42E2-B005-CA01BB14FD0D},384367.2893,6689063.228,Vantaa
1472,Pajapolku,Smedjestigen,1, ,ritva.myyrylainen@vantaa.fi,9/23/2019 0:00,muu,jalankulku,,433, ,{0F6376FE-F510-4296-BC62-1566E7380E69},378145.5557,6683345.715,Vantaa
