Nimi_suom,Nimi_ruots,Kunta
Perhotienkenttä,Fjärilsvägsplanen,Vantaa
Perintökuja,Arvsgränden,Vantaa
Perintöpolku,Arvsstigen,Vantaa
Perintötie,Arvsvägen,Vantaa
Perkiö,Nybolandet,Vantaa
Perkiönkuja,Nybolandsgränden,Vantaa
Perkiönmäki,Nybolandsbacken,Vantaa
Perkiönreuna,Nybolandskanten,Vantaa
Perkiöntie,Nybolandsvägen,Vantaa
Pertinkuja,Albertsgränden,Vantaa
Pesäpuunkuja,Boträdsgränden,Vantaa
Pesäpuunpuisto,Boträdsparken,Vantaa
Petaksenoja,Petasbäcken,Vantaa
Petaksenpolku,Petasstigen,Vantaa
Petas,Petas,Vantaa
Petas-Guss,Petas-Guss,Vantaa
Petikko,Petikko,Vantaa
Petikon isosuo,Petikko stormoss,Vantaa
Petikon yritysalue,Petikko företagsområde,Vantaa
Petikonhuippu,Petiktoppen,Vantaa
Petikonmäki,Petikbacken,Vantaa
Petikonmetsä,Petikkoskogen,Vantaa
Petikonniitty,Petikängen,Vantaa
Petikonpolku,Petikstigen,Vantaa
Petikontie,Petikkovägen,Vantaa
Petkelpolku,Barkjärnsstigen,Vantaa
Petrinkuja,Petrigränden,Vantaa
Peukaloisenkuja,Gärdsmygsgränden,Vantaa
Peukaloisenpuisto,Gärdsmygsparken,Vantaa
Peurakuja,Rengränden,Vantaa
Peuratie,Renvägen,Vantaa
Piennarkuja,Åkerrensgränden,Vantaa
Pietaryrtinpuisto,Renfaneparken,Vantaa
Pietaryrtintie,Renfanevägen,Vantaa
Pihakoivuntie,Gårdsbjörksvägen,Vantaa
Pihapolku,Gårdsstigen,Vantaa
Pihkalantie,Pihkalavägen,Vantaa
Pihlajapuisto,Rönnparken,Vantaa
Pihlajatie,Rönnvägen,Vantaa
Piikkikuja,Pikgränden,Vantaa
Piikkirinne,Pikbrinken,Vantaa
Piikuja,Flintgränden,Vantaa
Piilipuunpolku,Pilträdsstigen,Vantaa
Piipolku,Flintstigen,Vantaa
Piippilakinkuja,Piippilakkigränden,Vantaa
Piippilakinpuisto,Piippilakkiparken,Vantaa
Piipuisto,Flintparken,Vantaa
Piisamikuja,Bisamgränden,Vantaa
Piisamirinne,Bisambrinken,Vantaa
Piispankylä,Biskopsböle,Vantaa
Piispankylä Åby,0,Vantaa
Piispankyläntie,Biskopsbölevägen,Vantaa
Piispanrinne,Biskopsbrinken,Vantaa
Piitie,Kiselvägen,Vantaa
Pikkujärvenkenttä,Lillträskplanen,Vantaa
Pikkujärvenkuja,Lillträskgränden,Vantaa
Pikkujärvenniitty,Lillträskängen,Vantaa
Pikkujärventie,Lillträskvägen,Vantaa
Pikkujärvi,Lillträsk,Vantaa
Pikku-Jyrin puisto,Lill-Jörans park,Vantaa
Pikkukaari,Lillsvängen,Vantaa
Pikkukappale,Lillstycket,Vantaa
Pikku-Keimola,Lilla-Käinby,Vantaa
Pikku-Keimolan puisto,Lilla-Käinbyparken,Vantaa
Pikku-Keimolan raitti,Lillkäinbystråket,Vantaa
Pikkukivikko,Lilla kummeln,Vantaa
Pikkukontionpolku,Lillbjörnsstigen,Vantaa
Pikkukoski,Lillfors,Vantaa
Pikkukoulunmäki,Småskolsbacken,Vantaa
Pikkukuja,Lillgränden,Vantaa
Pikkulumikontie,Lillvesslevägen,Vantaa
Pikkumäenkuja,Lillbacksgränden,Vantaa
Pikkupolku,Lillstigen,Vantaa
Pikkuportintie,Lillportsvägen,Vantaa
Pikkupuisto,Lillparken,Vantaa
Pikkusiilinkuja,Lilligelkottsgränden,Vantaa
Pilkeraitti,Klabbstråket,Vantaa
Pilkerinne,Klabbrinken,Vantaa
Pilketie,Klabbvägen,Vantaa
Pilkkasiiventie,Svärtavägen,Vantaa
Pilvipuisto,Molnparken,Vantaa
Pilvitie,Molnvägen,Vantaa
Pinokuja,Vedtravsgränden,Vantaa
Pirjonkuja,Pirjogränden,Vantaa
Pirjonpolku,Pirjostigen,Vantaa
Pirjonpuisto,Pirjoparken,Vantaa
Pirjonrinne,Pirjobrinken,Vantaa
Pirjontie,Pirjovägen,Vantaa
Pirkankuja,Pirkkagränden,Vantaa
Pirkkakuja,0,Vantaa
Pirkkalankoivuntie,Birkalabjörksvägen,Vantaa
Pirkkaohra,Pirkkakornet,Vantaa
Pirtakuja,Vävskedsgränden,Vantaa
Pirtarinne,Vävskedsbrinken,Vantaa
Pirttikuja,Pörtgränden,Vantaa
Pirttipolku,Pörtstigen,Vantaa
Pirttipuisto,Pörtparken,Vantaa
Pirttirannantie,Pirttirantavägen,Vantaa
Pirttiranta,Pirttiranta,Vantaa
Pirttitie,Pörtvägen,Vantaa
Pisararinne,Droppbrinken,Vantaa
Pistiäisenkuja,Stekelgränden,Vantaa
Pistiäisenpolku,Stekelstigen,Vantaa
Pistiäisentie,Stekelvägen,Vantaa
Pistoraiteentie,Stickspårsvägen,Vantaa
Pitkähaka,Långhagen,Vantaa
Pitkäjärvenluhta,Långträskmaren,Vantaa
Pitkäjärvi,Långträsk,Vantaa
Pitkäkoskensilta,Långforsbron,Vantaa
Pitkäkoski,Långforsen,Vantaa
Pitkämäentie,Långbackavägen,Vantaa
Pitkäniityntie,Långängsvägen,Vantaa
Pitkärannanpolku,Långstrandsstigen,Vantaa
Pitkäsenniitty,Langisängen,Vantaa
Pitkäsentie,Langisvägen,Vantaa
Pitkäsiima,Långreven,Vantaa
Pitkäsuonkalliot,Långmossebergen,Vantaa
Pitkäsuonkuja,Långmossegränden,Vantaa
Pitkäsuonmetsikkö,Långmossedungen,Vantaa
Pitkäsuonpolku, Långmossestigen,Vantaa
Pitkäsuontie,Långmossevägen,Vantaa
Pitokartanontie,Kalasgårdsvägen,Vantaa
Pitokuja,Kalasgränden,Vantaa
Pitopolku,Kalasstigen,Vantaa
Pitotie,Kalasvägen,Vantaa
Plootukallio,Plåtmyntsberget,Vantaa
Plootukatu,Plåtmyntsgatan,Vantaa
Plootupuistikko,Plåtmyntsparken,Vantaa
Pohjankuja,Norrgränden,Vantaa
Pohjanpolku,Norrstigen,Vantaa
Pohjanpuisto,Norrparken,Vantaa
Pohjanrinne,Norrbrinken,Vantaa
Pohjantähdenpuisto,Polstjärneparken,Vantaa
Pohjantähdentie,Polstjärnevägen,Vantaa
Pohjoinen huoltotie,Norra servicevägen,Vantaa
Pohjoinen Rastitie,Norra Rastvägen,Vantaa
Pohjois-Kaarela,Kårböle,Vantaa
Pohjois-Kaarelan raitti,Norra Kårbölestråket,Vantaa
Pohjois-Kaarelan tie,Norra Kårbölevägen,Vantaa
Pohjoiskulma,Norrvinkeln,Vantaa
Pohjois-Nikinmäki,Norra Nissbacka,Vantaa
Pohjois-Viinikkalan tie,Norra Vinikbyvägen,Vantaa
Pohjolantie,Norrvägen,Vantaa
Poimulehdenkuja,Daggkåpsgränden,Vantaa
Poimulehdentie,Daggkåpsvägen,Vantaa
Polkkakuja,Polkastigen,Vantaa
Pollepuisto,Pålleparken,Vantaa
Pöllökallio,Långbackaberget,Vantaa
Pöllökallionpolku,Långbackastigen,Vantaa
Pöllökuja,Ugglegränden,Vantaa
Pöllötie,Ugglevägen,Vantaa
Ponikuja,Ponnygränden,Vantaa
Poppelipolku,Poppelstigen,Vantaa
Poppelipuisto,Poppelparken,Vantaa
Poppelirinne,Poppelbrinken,Vantaa
Poppelitie,Poppelvägen,Vantaa
Porakuja,Borrgränden,Vantaa
Porapolku,Borrstigen,Vantaa
Porraskuja,Spånggränden,Vantaa
Porraspolku,Trappstigen,Vantaa
Porttikaari,Portsvängen,Vantaa
Porttipolku,Portstigen,Vantaa
Porttipuisto,Portparken,Vantaa
Porttipuistonpolku,Portparksstigen,Vantaa
Porttipuistontie,Portparksvägen,Vantaa
Porttisuo,Portmossen,Vantaa
Porttisuonmetsikkö,Portmossdungen,Vantaa
Porttisuonoja,Portmossbäcken,Vantaa
Porttisuonpolku,Portmosstigen,Vantaa
Porttisuontie,Portmossvägen,Vantaa
Porvoonväylä,Borgåleden,Vantaa
Postileima,Poststämpeln,Vantaa
Postimerkki,Frimärket,Vantaa
Postimiehenkuja,Postmansgränden,Vantaa
Postipaketti,Postpaketet,Vantaa
Potinkorpi,Pottkärret,Vantaa
Potinkuja,Pottgränden,Vantaa
Pottiniitynaukio,Pottängsplatsen,Vantaa
Pottiniitynkatu,Pottängsgatan,Vantaa
Pottiniitynkuja,Pottängsgränden,Vantaa
Pottiniitynpolku,Pottängsstigen,Vantaa
Poutakuja,Solvädersgränden,Vantaa
Poutarinne,Solvädersbrinken,Vantaa
Primavera,Primavera,Vantaa
Primaveransilta,Primaverabron,Vantaa
Prinsessankuja,Prinsessgränden,Vantaa
Prinsessantie,Prinsessvägen,Vantaa
Prinssintie,Prinsvägen,Vantaa
Pritsu,Pritsu,Vantaa
Pritsunoja,Pritsubäcken,Vantaa
Promenadi,Promenaden,Vantaa
Pronssikuja,Bronsgränden,Vantaa
Pudaskuja,Ågrensgränden,Vantaa
Pudaspolku,Ågrensstigen,Vantaa
Pudasrinne,Ågrensbrinken,Vantaa
Puistokolmio,Parktriangeln,Vantaa
Pukinjuurentie,Bockrotsvägen,Vantaa
Pukkimäki,Bockbacken,Vantaa
Pukkipolku,Bockstigen,Vantaa
Pukkivuorenpolku,Bockbergsstigen,Vantaa
Pukkivuorentie,Bockbergsvägen,Vantaa
Pulmusenkuja,Snösparvsgränden,Vantaa
Punaisten puisto,De rödas park,Vantaa
Punakivenkuja,Rödstensgränden,Vantaa
Punakivenpuisto,Rödstensparken,Vantaa
Punakiventie,Rödstensvägen,Vantaa
Punakoivunkuja,Rödbjörksgränden,Vantaa
Punalatvanpolku,Hampflockelstigen,Vantaa
Punalatvantie,Hampflockelvägen,Vantaa
Punamultakuja,Rödmyllegränden,Vantaa
Punamultapolku,Rödmyllestigen,Vantaa
Punamultatori,Rödmylletorget,Vantaa
Punasafiirinpolku,Rödsafirsstigen,Vantaa
Punatulkunkuja,Domherregränden,Vantaa
Punatulkuntie,Domherrevägen,Vantaa
Puolamäki,Spolbacken,Vantaa
Puolukkasuontie,Lingonmossvägen,Vantaa
Puosunkuja,Båtsmansgränden,Vantaa
Purjotie,Purjolöksvägen,Vantaa
Purokuja,Bäckgränden,Vantaa
Purolaakso,Bäckdalen,Vantaa
Puropolku,Bäckstigen,Vantaa
Purorinne,Bäckbrinken,Vantaa
Purosillankuja,Bäckbrogränden,Vantaa
Purosillantie,Bäckbrovägen,Vantaa
Purotie,Bäckvägen,Vantaa
Purpurikuja,Potpurgränden,Vantaa
Pursukuja,Porsgränden,Vantaa
Pursupolku,Porsstigen,Vantaa
Purupihkanpolku,Tuggkådsstigen,Vantaa
Putouskuja,Fallgränden,Vantaa
Putousrinne,Fallbrinken,Vantaa
Puuhelmenpolku,Träpärlsstigen,Vantaa
Puuhelmenpuisto,Träpärlsparken,Vantaa
Puuketjunkuja,Träkedjegränden,Vantaa
Puuketjunpolku,Träkedjestigen,Vantaa
Puukiipijänkuja,Trädkrypargränden,Vantaa
Puukorunpolku,Träsmycksstigen ,Vantaa
Puukullanpelto,Bokullaåkern,Vantaa
Puukullanpolku,Bokullastigen,Vantaa
Puumerkki,Bomärket,Vantaa
Puunhakkaajanmäki,Vedhuggarbacken,Vantaa
Puunhaltijankuja,Trädnymfgränden,Vantaa
Puutarharanta,Trädgårdsstranden,Vantaa
Puutarhurien asunto,Trädgårdsmästarnas,Vantaa
Pyhtäänkalliontie,Pyttisbergsvägen,Vantaa
Pyhtäänkorvenkuja,Pyttisgränden,Vantaa
Pyhtäänkorventie,Pyttistådet,Vantaa
Pyhtäänpolku,Pyttisstigen,Vantaa
Pyökkikuja,Bokgränden,Vantaa
Pyökkitie,Bokvägen,Vantaa
Pyöräkuja,Cykelgränden,Vantaa
Pyöräpuisto,Cykelparken,Vantaa
Pyörärinne,Cykelbrinken,Vantaa
Pyörätie,Cykelvägen,Vantaa
Pyörrekuja,Virvelgränden,Vantaa
Pyrykuja,Yrvädersgränden,Vantaa
Pytinkalliontie,Pyttisbergsvägen,Vantaa
Pytinoja,Pyttisbäcken,Vantaa
Pytinojanpuisto,Pyttisbäcksparken,Vantaa
Pytinpuisto,Pyttisparken,Vantaa
Pyttisberget,Pyttisberget,Vantaa
Pyttiskärr,Pyttiskärr,Vantaa
Pyykkärinpuisto,Bykarparken,Vantaa
Pyykkikuja,Rösgränden,Vantaa
Pyykuja,Järpgränden,Vantaa
Pyymosa,Bymossa,Vantaa
Pyymosankorpi,Bymossakärret,Vantaa
Pyymosanlehto,Bymossalunden,Vantaa
Pyymosantie,Bymossavägen,Vantaa
Pyyntipolku,Fångststigen,Vantaa
Pyyoja,Järpbäcken,Vantaa
Pyytie,Järpvägen,Vantaa
Raapekuja,Skrapgränden,Vantaa
Raappapolku,Skrapstigen,Vantaa
Raappavuorenkuja,Skrapbergsgränden,Vantaa
Raappavuorenpuisto,Skrapbergsparken,Vantaa
Raappavuorenreuna,Skrapbergsliden,Vantaa
Raappavuorentie,Skrapbergsvägen,Vantaa
Raappavuoret,Skrapbergen,Vantaa
Raappavuortenoja,Skrapbergsbäcken,Vantaa
Räätälinkuja,Skräddargränden,Vantaa
Räätälinpolku,Skräddarstigen,Vantaa
Raatekuja,Vattenklövergränden,Vantaa
Raatepuisto,Vattenklöverparken,Vantaa
Raatetie,Vattenklövervägen,Vantaa
Raatinniitunoja,Raatinniittubäcken,Vantaa
Räckhalsinpuisto,Räckhalsparken,Vantaa
Radioasemanoja,Radiostationsbäcken,Vantaa
Radioasemantie,Radiostationsvägen,Vantaa
Rahkasammalenpolku,Vitmossastigen ,Vantaa
Rahkatie,Vitmossevägen,Vantaa
Rahtikuja,Fraktgränden,Vantaa
Rahtitie,Fraktvägen,Vantaa
Raijankuja,Raijagränden,Vantaa
Raikukäytävä,Skallgången,Vantaa
Raikukuja,Skallgränden,Vantaa
Raikukujankenttä,Skallgrändsplanen,Vantaa
Raikupolku,Skallstigen,Vantaa
Raikurinne,Skallbrinken,Vantaa
Raimonpuisto,Raimoparken,Vantaa
Raimontie,Raimovägen,Vantaa
Raitakuja,Sälggränden,Vantaa
Raitapuisto,Sälgparken,Vantaa
Raitatie,Sälgvägen,Vantaa
Raivaajanpolku,Röjarstigen,Vantaa
Raivaajanpuisto,Röjarparken,Vantaa
Raiviopolku,Rödjestigen,Vantaa
Raiviopuisto,Rödjeparken,Vantaa
Raiviosuonmäki,Rödjekärrsbacken,Vantaa
Raiviosuonpolku,Rödjekärrsstigen,Vantaa
Raiviosuonrinne,Rödjekärrsbrinken,Vantaa
Raiviotie,Rödjevägen,Vantaa
Rajakallio,Råberget,Vantaa
Rajakallionreuna,Råbergskanten,Vantaa
Rajakalliontie,Råbergsvägen,Vantaa
Rajakentänkuja,Råbyplansgränden,Vantaa
Rajakentänpolku,Råbyplansstigen,Vantaa
Rajakentäntie,Råbyplansvägen,Vantaa
Rajakenttä,Råbyplan,Vantaa
Rajakoskenranta,Råforsstranden,Vantaa
Rajakoskentie,Råforsvägen,Vantaa
Rajakoski,Råfors,Vantaa
Rajakuja,Rågränden,Vantaa
Rajakulmantie,Rajakulmantie,Vantaa
Rajakylä,Råby,Vantaa
Rajakylän liikuntapuisto,Råby idrottspark,Vantaa
Rajakylänpolku,Råbystigen,Vantaa
Rajakyläntie,Råbyvägen,Vantaa
Rajala,Rajala,Vantaa
Rajalantie,Rajalavägen,Vantaa
Rajalinna,Rajalinna,Vantaa
Rajalinnantie,Råborgsvägen,Vantaa
Rajamäki,Råbacken,Vantaa
Rajamyllyntie,Råkvarnsvägen,Vantaa
Rajapolku,Råstigen,Vantaa
Rajarinne,Råbrinken,Vantaa
Rajasillanoja,Råbrobäcken,Vantaa
Rajasillantie,Råbrovägen,Vantaa
Rajasilta,Råbro,Vantaa
Rajatie,Råvägen,Vantaa
Rajatorpanaukee,Råtorpsslätten,Vantaa
Rajatorpankenttä,Råtorpsplanen,Vantaa
Rajatorpanpuisto,Råtorpsparken,Vantaa
Rajatorpantie,Råtorpsvägen,Vantaa
Rajatorppa,Råtorp,Vantaa
Rajavoudinkuja,Gränsfogdegränden,Vantaa
Rakuniitynkuja,Rakuängsgränden,Vantaa
Rakuniitynrinne,Rakuängsbrinken,Vantaa
Rakuunatie,Dragonvägen,Vantaa
Rälssipolku,Frälsestigen,Vantaa
Rälssipuisto,Frälseparken,Vantaa
Rälssipuistonpolku,Frälseparksstigen,Vantaa
Rälssitie,Frälsevägen,Vantaa
Ränni,Rännan,Vantaa
Rantakuja,Strandgränden,Vantaa
Rantakukankuja,Fackelblomsgränden,Vantaa
Rantakukantie,Fackelblomsvägen,Vantaa
Rantaniityntie,Strandängsvägen,Vantaa
Rantapolku,Strandstigen,Vantaa
Rantatie,Strandvägen,Vantaa
Rapsikuja,Rapsgränden,Vantaa
Rapsitie,Rapsvägen,Vantaa
Rapuojantie,Krabbäcksvägen,Vantaa
Rapupolku,Kräftstigen,Vantaa
Rapuranta,Kräftstranden,Vantaa
Rasinkatu,Brakgatan,Vantaa
Rasinmäki,Brakbacken,Vantaa
Rasinpää,0,Vantaa
Rasinrinne,Brakbrinken,Vantaa
Rasinsola,Braksmygen,Vantaa
Raskinpolku,Raskisstigen,Vantaa
Raspitie,Raspvägen,Vantaa
Rastaskuja,Trastgränden,Vantaa
Rastimäki,Rastbacken,Vantaa
Rastipolku,Raststigen,Vantaa
Rataraitti,Banstråket,Vantaa
Rataramppi,Banrampen,Vantaa
Ratasillanpuisto, Banbroparken,Vantaa
Rataskuja,Hjulgränden,Vantaa
Rataspolku,Hjulstigen,Vantaa
Ratastie,Hjulvägen,Vantaa
Ratatöyräs,Banbrinken,Vantaa
Råtorp,Råtorp,Vantaa
Ratsumestarinkuja,Ryttmästargränden,Vantaa
Ratsumestarinpolku,Ryttmästarstigen,Vantaa
Ratsumestarintie,Ryttmästarvägen,Vantaa
Ratsumiehenpolku,Ryttarstigen,Vantaa
Ratsumiehenpuisto,Ryttarparken,Vantaa
Ratsupuisto,Ridparken,Vantaa
Ratsutie,Ridvägen,Vantaa
Rattaanpyöränmäki,Kärrhjulsbacken,Vantaa
Raudikkokuja,Fuxgränden,Vantaa
Raudikkopolku,Fuxstigen,Vantaa
Raudikkopuisto ,Fuxparken,Vantaa
Rauduskoivunkuja,Vårtbjörksgränden,Vantaa
Rauduskoivuntie,Vårtbjörksvägen,Vantaa
Rauhala,Rauhala,Vantaa
Rauhalankaari,Rauhalabågen,Vantaa
Rauhalankuja,Rauhalagränden,Vantaa
Rauhalanoja,Rauhalabäcken,Vantaa
Rauhalantie,Rauhalavägen,Vantaa
Rauhamaa,Rauhamaa,Vantaa
Rauhamäentie,Rauhamäkivägen,Vantaa
Rauhamäki,Rauhamäki,Vantaa
Rauniopuisto,Ruinparken,Vantaa
Rauskukuja,Rockagränden,Vantaa
Rauskumäki,Rockabacken,Vantaa
Rauskurinne,Rockabrinken,Vantaa
Rauskutie,Rockavägen,Vantaa
Rautapolku,Järnstigen,Vantaa
Rautaportti,Järnporten,Vantaa
Rautatiealue,0,Vantaa
Rautkallio,Rautberget,Vantaa
Rautkallionkatu,Rautbergsgatan,Vantaa
Rautkallionkenttä,Rautbergsplanen,Vantaa
Rautkallionrinne,Rautbergsbrinken,Vantaa
Rautkalliontie,Rautbergsvägen,Vantaa
Rautniitty,Rautängen,Vantaa
Ravuntie,Kräftvägen,Vantaa
Ravurinkuja,Travargränden,Vantaa
Ravurinpolku,Travarstigen,Vantaa
Ravurinpuisto,Travarparken,Vantaa
Räyskäkuja,Skräntärnagränden,Vantaa
Redesvininpuisto,Redesvinsparken,Vantaa
Reimankallio,Reimaberget,Vantaa
Reinonpuisto,Reinoparken,Vantaa
Reinontie,Reinovägen,Vantaa
Reissu-Lassi,Reselasse,Vantaa
Reissu-Lassin polku,Reselasses stig,Vantaa
Reittimäki,Ledbacken,Vantaa
Reittipuisto,Ledparken,Vantaa
Rekikuja,Slädgränden,Vantaa
Rekipajukko,Slädvidesnåret,Vantaa
Rekipolku,Slädstigen,Vantaa
Rekipuisto,Slädparken,Vantaa
Rekitie,Slädvägen,Vantaa
Rekola,Räckhals,Vantaa
Rekolan asema,Räckhals station,Vantaa
Rekolan Isoniittu,Räckhals Storängen,Vantaa
Rekolan kartano,Räckhals gård,Vantaa
Rekolan liikuntapuisto,Räckhals idrottspark ,Vantaa
Rekolan urheilupuisto,Räckhals idrottspark,Vantaa
Rekolanaukio,Räckhalsplatsen,Vantaa
Rekolankenttä,Räckhalsplanen,Vantaa
Rekolankuja,Räckhalsgränden,Vantaa
Rekolanmäki,Räckhalsbacka,Vantaa
Rekolanmetsä,Räckhalsskogen,Vantaa
Rekolanoja,Räckhalsbäcken,Vantaa
Rekolanojanpuisto,Räckhalsbäcksparken,Vantaa
Rekolanranta,Räckhalsstranden,Vantaa
Rekolantie,Räckhalsvägen,Vantaa
Relanderinpiha,Relandersgången,Vantaa
Relanderinpuisto,Relandersparken,Vantaa
Relepuisto,Reläparken,Vantaa
Rentukkakuja,Kalvleksgränden,Vantaa
Rentukkatie,Kalvleksvägen,Vantaa
Repolaisenpolku,Mickelrävsstigen,Vantaa
Repolaisentie,Rävvägen,Vantaa
Repolankuja,Repolagränden,Vantaa
Repolantie,Repolavägen,Vantaa
Repomäentie,Rävbacksvägen,Vantaa
Resedakuja,Resedagränden,Vantaa
Retiisikuja,Rädisgränden,Vantaa
Retiisipolku,Rädisstigen,Vantaa
Retkitie,Utflyktsvägen,Vantaa
Reuna,Reuna,Vantaa
Reunakuja,Reunagränden,Vantaa
Reunarinne,Reunabrinken,Vantaa
Reunatie,Reunavägen,Vantaa
Revontulenkuja,Norrskensgränden,Vantaa
Riddars I,Riddars I,Vantaa
Riddars II,Riddars II,Vantaa
Riekkomäentie,Ripbacksvägen,Vantaa
Riekkopolku,Dalripsstigen,Vantaa
Riekkotie,Dalripsvägen,Vantaa
Rihmakuja,Trådgränden,Vantaa
Rihmapolku,Trådstigen,Vantaa
Rihmarulla,Trådrullen,Vantaa
Riihikuja,Rigränden,Vantaa
Riihimiehentie,Rikarlsvägen,Vantaa
Riihitontuntie,Ritomtevägen,Vantaa
Riimikuja,Rimgränden,Vantaa
Riimukuja,Rungränden,Vantaa
Riimumäki,Runbacken,Vantaa
Riimupuisto,Runparken,Vantaa
Riipilä,Ripuby,Vantaa
Riipilänkuja,Ripubygränden,Vantaa
Riipilänsilta ,Ripubybron,Vantaa
Riipiläntie,Ripubyvägen,Vantaa
Riippakoivunkuja,Hängbjörksgränden,Vantaa
Riipuspolku,Hängsmyckestigen,Vantaa
Riistakuja,Villebrådsgränden,Vantaa
Riistapuisto,Villebrådsparken,Vantaa
Riitanpolku,Ritastigen,Vantaa
Riitanpuisto,Ritaparken,Vantaa
Riitantie,Ritavägen,Vantaa
Riitenotko,Isskorpsdälden,Vantaa
Riitukki,Rituk,Vantaa
Rikunkuja,Rikugränden,Vantaa
Rillitie,Rillvägen,Vantaa
Rillitori,Rilltorget,Vantaa
Rimakuja,Ribbgränden,Vantaa
Rimapuisto,Ribbparken,Vantaa
Rimpitie,Dymossevägen,Vantaa
Ringhinpuisto,Ringhsparken,Vantaa
Rinnekuja,Brantgränden,Vantaa
Rinnepuisto,Brinkparken,Vantaa
Rinnetie,Brantvägen,Vantaa
Rintamamiehenpuisto,Frontmannaparken,Vantaa
Rintapolku,Släntstigen,Vantaa
Rintapuisto,Släntparken,Vantaa
Rintatie,Släntvägen,Vantaa
Rintelä,Rintelä,Vantaa
Rinteläntie,Rintelävägen,Vantaa
Riskiläkuja,Grisslagränden,Vantaa
Riskilätie,Grisslavägen,Vantaa
Ristipuro,Ristipuro,Vantaa
Ristiraja,Korsrån,Vantaa
Ristisillanlammet,Korsbrodammarna,Vantaa
Ristisillanpuisto,Korsbroparken,Vantaa
Ristisilta,Korsbron,Vantaa
Ristonpolku,Ristostigen,Vantaa
Risukarhi,Risharven,Vantaa
Ritakuja,Fällgränden,Vantaa
Ritapuisto,Fällparken,Vantaa
Ritarikuja,Riddargränden,Vantaa
Ritarimäki,Riddarbacken,Vantaa
Ritaripolku,Riddarstigen,Vantaa
Ritaririnne,Riddarbrinken,Vantaa
Ritaritie,Riddarvägen,Vantaa
Ritinäpiha,Knastergården,Vantaa
Ritinäraitti,Knasterstråket,Vantaa
Ritvanpolku,Ritvastigen,Vantaa
Ritvanpuisto,Ritvaparken,Vantaa
Ritvantie,Ritvavägen,Vantaa
Robert Huberin polku,Robert Hubers stig,Vantaa
Roikko,0,Vantaa
Rokkolannotko,Råkulladälden,Vantaa
Rokkolanoja,Råkullabäcken,Vantaa
Rönnkulla,Rönnkulla,Vantaa
Ropinakuja,Smattergränden,Vantaa
Ropinapiha,Smattergården,Vantaa
Ropinaraitti,Smatterstråket,Vantaa
Rosbacka,Rosbacka,Vantaa
Rosendalinkuja,Rosendalsgränden,Vantaa
Rosendalinrinki,Rosendalsringen,Vantaa
Rosenlund,Rosenlund,Vantaa
Rosenlundinpolku,Rosenlundsstigen,Vantaa
Rosenlundintie,Rosenlundsvägen,Vantaa
Rouskukuja,Riskagränden,Vantaa
Roussalo,Roussalo,Vantaa
Roussalonoja,Roussalobäcken,Vantaa
Roxängen,Roxängen,Vantaa
Roxinoja,Roxbäcken,Vantaa
Rubiinikehä,Rubinringen,Vantaa
Rubiinikuja,Rubingränden,Vantaa
Rubiinipuisto,Rubinparken,Vantaa
Ruhansilta ,Ruhabron,Vantaa
Ruhantie,Ruhavägen,Vantaa
Ruiskukankuja,Rågblomsgränden,Vantaa
Ruispolku,Rågstigen,Vantaa
Ruispuisto,Rågparken,Vantaa
Rukinlapa,Spinnrockshuvudet,Vantaa
Rukinpyörä,Spinnrockshjulet,Vantaa
Rukkitie,Spinnrocksvägen,Vantaa
Rumpalintie,Trumslagarvägen,Vantaa
Rumpukuja,Trumgränden,Vantaa
Runkokuja,Stamgränden,Vantaa
Runkotie,Stamvägen,Vantaa
Runotie,Diktvägen,Vantaa
Ruokkitie,Tordmulsvägen,Vantaa
Ruokokuja,Vassgränden,Vantaa
Ruokopolku,Vasstigen,Vantaa
Ruokotie,Vassvägen,Vantaa
Ruostekuja,Rostgränden,Vantaa
Ruostepuisto,Rostparken,Vantaa
Ruotsinpiha,Sverigegården,Vantaa
Ruotsinpuisto,Sverigeparken,Vantaa
Ruotsintie,Sverigevägen,Vantaa
Ruskarinne,Ruskabrinken,Vantaa
Ruskeasannan hautausmaa,Rödsands begravningsplats,Vantaa
Ruskeasannanlammet,Rödsandspottarna,Vantaa
Ruskeasannanoja,Rödsandsbäcken,Vantaa
Ruskeasannanpuisto,Rödsandsparken,Vantaa
Ruskeasannantie,Rödsandsvägen,Vantaa
Ruskeasanta,Rödsand,Vantaa
Ruskokuja,Brungränden,Vantaa
Rusojuurenkuja,Sminkrotsgränden,Vantaa
Rusojuurentie,Sminkrotsvägen,Vantaa
Rusokallio,Brunaberget,Vantaa
Rusokallionpolku,Brunabergsstigen,Vantaa
Rusokalliontie,Brunabergsvägen,Vantaa
Rutarsinpolku,Rutarsstigen,Vantaa
Rutikanpolku,Rutikkastigen,Vantaa
Ruuhilaituri,Stockbåtsbryggan,Vantaa
Ruuhipiha,Stockbåtsgården,Vantaa
Ruukinranta,Brukstranden,Vantaa
Ruukkukuja,Krukgränden,Vantaa
Ruukkupiha,Krukgården,Vantaa
Ruukkupolku,Krukstigen,Vantaa
Ruukkutori,Kruktorget,Vantaa
Ruukuntekijäntie,Krukmakarvägen,Vantaa
Ruunikkokuja,Bruntegränden,Vantaa
Ruusukvartsinkatu,Rosenkvartsgatan,Vantaa
Ruusukvartsinkuja,Rosenkvartsgränden,Vantaa
Ruusukvartsinpolku,Rosenkvartsstigen,Vantaa
