index,Nimi,Namn,Kunta
3752,Räätälinpolku,Skräddarstigen,Vantaa
3753,Raatekuja,Vattenklövergränden,Vantaa
3754,Raatepuisto,Vattenklöverparken,Vantaa
3755,Raatetie,Vattenklövervägen,Vantaa
3756,Raatinniitunoja,Raatinniittubäcken,Vantaa
3757,Räckhalsinpuisto,Räckhalsparken,Vantaa
3758,Radioasemanoja,Radiostationsbäcken,Vantaa
3759,Radioasemantie,Radiostationsvägen,Vantaa
3760,Rahkasammalenpolku,Vitmossastigen ,Vantaa
3761,Rahkatie,Vitmossevägen,Vantaa
3762,Rahtikuja,Fraktgränden,Vantaa
3763,Rahtitie,Fraktvägen,Vantaa
3764,Raijankuja,Raijagränden,Vantaa
3765,Raikukäytävä,Skallgången,Vantaa
3766,Raikukuja,Skallgränden,Vantaa
3767,Raikukujankenttä,Skallgrändsplanen,Vantaa
3768,Raikupolku,Skallstigen,Vantaa
3769,Raikurinne,Skallbrinken,Vantaa
3770,Raimonpuisto,Raimoparken,Vantaa
3771,Raimontie,Raimovägen,Vantaa
3772,Raitakuja,Sälggränden,Vantaa
3773,Raitapuisto,Sälgparken,Vantaa
3774,Raitatie,Sälgvägen,Vantaa
3775,Raivaajanpolku,Röjarstigen,Vantaa
3776,Raivaajanpuisto,Röjarparken,Vantaa
3777,Raiviopolku,Rödjestigen,Vantaa
3778,Raiviopuisto,Rödjeparken,Vantaa
3779,Raiviosuonmäki,Rödjekärrsbacken,Vantaa
3780,Raiviosuonpolku,Rödjekärrsstigen,Vantaa
3781,Raiviosuonrinne,Rödjekärrsbrinken,Vantaa
3782,Raiviotie,Rödjevägen,Vantaa
3783,Rajakallio,Råberget,Vantaa
3784,Rajakallionreuna,Råbergskanten,Vantaa
3785,Rajakalliontie,Råbergsvägen,Vantaa
3786,Rajakentänkuja,Råbyplansgränden,Vantaa
3787,Rajakentänpolku,Råbyplansstigen,Vantaa
3788,Rajakentäntie,Råbyplansvägen,Vantaa
3789,Rajakenttä,Råbyplan,Vantaa
3790,Rajakoskenranta,Råforsstranden,Vantaa
3791,Rajakoskentie,Råforsvägen,Vantaa
3792,Rajakoski,Råfors,Vantaa
3793,Rajakuja,Rågränden,Vantaa
3794,Rajakulmantie,Rajakulmantie,Vantaa
3795,Rajakylä,Råby,Vantaa
3796,Rajakylän liikuntapuisto,Råby idrottspark,Vantaa
3797,Rajakylänpolku,Råbystigen,Vantaa
3798,Rajakyläntie,Råbyvägen,Vantaa
3799,Rajala,Rajala,Vantaa
3800,Rajalantie,Rajalavägen,Vantaa
3801,Rajalinna,Rajalinna,Vantaa
3802,Rajalinnantie,Råborgsvägen,Vantaa
3803,Rajamäki,Råbacken,Vantaa
3804,Rajamyllyntie,Råkvarnsvägen,Vantaa
3805,Rajapolku,Råstigen,Vantaa
3806,Rajarinne,Råbrinken,Vantaa
3807,Rajasillanoja,Råbrobäcken,Vantaa
3808,Rajasillantie,Råbrovägen,Vantaa
3809,Rajasilta,Råbro,Vantaa
3810,Rajatie,Råvägen,Vantaa
3811,Rajatorpanaukee,Råtorpsslätten,Vantaa
3812,Rajatorpankenttä,Råtorpsplanen,Vantaa
3813,Rajatorpanpuisto,Råtorpsparken,Vantaa
3814,Rajatorpantie,Råtorpsvägen,Vantaa
3815,Rajatorppa,Råtorp,Vantaa
3816,Rajavoudinkuja,Gränsfogdegränden,Vantaa
3817,Rakuniitynkuja,Rakuängsgränden,Vantaa
3818,Rakuniitynrinne,Rakuängsbrinken,Vantaa
3819,Rakuunatie,Dragonvägen,Vantaa
3820,Rälssipolku,Frälsestigen,Vantaa
3821,Rälssipuisto,Frälseparken,Vantaa
3822,Rälssipuistonpolku,Frälseparksstigen,Vantaa
3823,Rälssitie,Frälsevägen,Vantaa
3824,Ränni,Rännan,Vantaa
3825,Rantakuja,Strandgränden,Vantaa
3826,Rantakukankuja,Fackelblomsgränden,Vantaa
3827,Rantakukantie,Fackelblomsvägen,Vantaa
3828,Rantaniityntie,Strandängsvägen,Vantaa
3829,Rantapolku,Strandstigen,Vantaa
3830,Rantatie,Strandvägen,Vantaa
3831,Rapsikuja,Rapsgränden,Vantaa
3832,Rapsitie,Rapsvägen,Vantaa
3833,Rapuojantie,Krabbäcksvägen,Vantaa
3834,Rapupolku,Kräftstigen,Vantaa
3835,Rapuranta,Kräftstranden,Vantaa
3836,Rasinkatu,Brakgatan,Vantaa
3837,Rasinmäki,Brakbacken,Vantaa
3838,Rasinpää,0,Vantaa
3839,Rasinrinne,Brakbrinken,Vantaa
3840,Rasinsola,Braksmygen,Vantaa
3841,Raskinpolku,Raskisstigen,Vantaa
3842,Raspitie,Raspvägen,Vantaa
3843,Rastaskuja,Trastgränden,Vantaa
3844,Rastimäki,Rastbacken,Vantaa
3845,Rastipolku,Raststigen,Vantaa
3846,Rataraitti,Banstråket,Vantaa
3847,Rataramppi,Banrampen,Vantaa
3848,Ratasillanpuisto, Banbroparken,Vantaa
3849,Rataskuja,Hjulgränden,Vantaa
3850,Rataspolku,Hjulstigen,Vantaa
3851,Ratastie,Hjulvägen,Vantaa
3852,Ratatöyräs,Banbrinken,Vantaa
3853,Råtorp,Råtorp,Vantaa
3854,Ratsumestarinkuja,Ryttmästargränden,Vantaa
3855,Ratsumestarinpolku,Ryttmästarstigen,Vantaa
3856,Ratsumestarintie,Ryttmästarvägen,Vantaa
3857,Ratsumiehenpolku,Ryttarstigen,Vantaa
3858,Ratsumiehenpuisto,Ryttarparken,Vantaa
3859,Ratsupuisto,Ridparken,Vantaa
3860,Ratsutie,Ridvägen,Vantaa
3861,Rattaanpyöränmäki,Kärrhjulsbacken,Vantaa
3862,Raudikkokuja,Fuxgränden,Vantaa
3863,Raudikkopolku,Fuxstigen,Vantaa
3864,Raudikkopuisto ,Fuxparken,Vantaa
3865,Rauduskoivunkuja,Vårtbjörksgränden,Vantaa
3866,Rauduskoivuntie,Vårtbjörksvägen,Vantaa
3867,Rauhala,Rauhala,Vantaa
3868,Rauhalankaari,Rauhalabågen,Vantaa
3869,Rauhalankuja,Rauhalagränden,Vantaa
3870,Rauhalanoja,Rauhalabäcken,Vantaa
3871,Rauhalantie,Rauhalavägen,Vantaa
3872,Rauhamaa,Rauhamaa,Vantaa
3873,Rauhamäentie,Rauhamäkivägen,Vantaa
3874,Rauhamäki,Rauhamäki,Vantaa
3875,Rauniopuisto,Ruinparken,Vantaa
3876,Rauskukuja,Rockagränden,Vantaa
3877,Rauskumäki,Rockabacken,Vantaa
3878,Rauskurinne,Rockabrinken,Vantaa
3879,Rauskutie,Rockavägen,Vantaa
3880,Rautapolku,Järnstigen,Vantaa
3881,Rautaportti,Järnporten,Vantaa
3882,Rautatiealue,0,Vantaa
3883,Rautkallio,Rautberget,Vantaa
3884,Rautkallionkatu,Rautbergsgatan,Vantaa
3885,Rautkallionkenttä,Rautbergsplanen,Vantaa
3886,Rautkallionrinne,Rautbergsbrinken,Vantaa
3887,Rautkalliontie,Rautbergsvägen,Vantaa
3888,Rautniitty,Rautängen,Vantaa
3889,Ravuntie,Kräftvägen,Vantaa
3890,Ravurinkuja,Travargränden,Vantaa
3891,Ravurinpolku,Travarstigen,Vantaa
3892,Ravurinpuisto,Travarparken,Vantaa
3893,Räyskäkuja,Skräntärnagränden,Vantaa
3894,Redesvininpuisto,Redesvinsparken,Vantaa
3895,Reimankallio,Reimaberget,Vantaa
3896,Reinonpuisto,Reinoparken,Vantaa
3897,Reinontie,Reinovägen,Vantaa
3898,Reissu-Lassi,Reselasse,Vantaa
3899,Reissu-Lassin polku,Reselasses stig,Vantaa
3900,Reittimäki,Ledbacken,Vantaa
3901,Reittipuisto,Ledparken,Vantaa
3902,Rekikuja,Slädgränden,Vantaa
3903,Rekipajukko,Slädvidesnåret,Vantaa
3904,Rekipolku,Slädstigen,Vantaa
3905,Rekipuisto,Slädparken,Vantaa
3906,Rekitie,Slädvägen,Vantaa
3907,Rekola,Räckhals,Vantaa
3908,Rekolan asema,Räckhals station,Vantaa
3909,Rekolan Isoniittu,Räckhals Storängen,Vantaa
3910,Rekolan kartano,Räckhals gård,Vantaa
3911,Rekolan liikuntapuisto,Räckhals idrottspark ,Vantaa
3912,Rekolan urheilupuisto,Räckhals idrottspark,Vantaa
3913,Rekolanaukio,Räckhalsplatsen,Vantaa
3914,Rekolankenttä,Räckhalsplanen,Vantaa
3915,Rekolankuja,Räckhalsgränden,Vantaa
3916,Rekolanmäki,Räckhalsbacka,Vantaa
3917,Rekolanmetsä,Räckhalsskogen,Vantaa
3918,Rekolanoja,Räckhalsbäcken,Vantaa
3919,Rekolanojanpuisto,Räckhalsbäcksparken,Vantaa
3920,Rekolanranta,Räckhalsstranden,Vantaa
3921,Rekolantie,Räckhalsvägen,Vantaa
3922,Relanderinpiha,Relandersgången,Vantaa
3923,Relanderinpuisto,Relandersparken,Vantaa
3924,Relepuisto,Reläparken,Vantaa
3925,Rentukkakuja,Kalvleksgränden,Vantaa
3926,Rentukkatie,Kalvleksvägen,Vantaa
3927,Repolaisenpolku,Mickelrävsstigen,Vantaa
3928,Repolaisentie,Rävvägen,Vantaa
3929,Repolankuja,Repolagränden,Vantaa
3930,Repolantie,Repolavägen,Vantaa
3931,Repomäentie,Rävbacksvägen,Vantaa
3932,Resedakuja,Resedagränden,Vantaa
3933,Retiisikuja,Rädisgränden,Vantaa
3934,Retiisipolku,Rädisstigen,Vantaa
3935,Retkitie,Utflyktsvägen,Vantaa
3936,Reuna,Reuna,Vantaa
3937,Reunakuja,Reunagränden,Vantaa
3938,Reunarinne,Reunabrinken,Vantaa
3939,Reunatie,Reunavägen,Vantaa
3940,Revontulenkuja,Norrskensgränden,Vantaa
3941,Riddars I,Riddars I,Vantaa
3942,Riddars II,Riddars II,Vantaa
3943,Riekkomäentie,Ripbacksvägen,Vantaa
3944,Riekkopolku,Dalripsstigen,Vantaa
3945,Riekkotie,Dalripsvägen,Vantaa
3946,Rihmakuja,Trådgränden,Vantaa
3947,Rihmapolku,Trådstigen,Vantaa
3948,Rihmarulla,Trådrullen,Vantaa
3949,Riihikuja,Rigränden,Vantaa
3950,Riihimiehentie,Rikarlsvägen,Vantaa
3951,Riihitontuntie,Ritomtevägen,Vantaa
3952,Riimikuja,Rimgränden,Vantaa
3953,Riimukuja,Rungränden,Vantaa
3954,Riimumäki,Runbacken,Vantaa
3955,Riimupuisto,Runparken,Vantaa
3956,Riipilä,Ripuby,Vantaa
3957,Riipilänkuja,Ripubygränden,Vantaa
3958,Riipilänsilta ,Ripubybron,Vantaa
3959,Riipiläntie,Ripubyvägen,Vantaa
3960,Riippakoivunkuja,Hängbjörksgränden,Vantaa
3961,Riipuspolku,Hängsmyckestigen,Vantaa
3962,Riistakuja,Villebrådsgränden,Vantaa
3963,Riistapuisto,Villebrådsparken,Vantaa
3964,Riitanpolku,Ritastigen,Vantaa
3965,Riitanpuisto,Ritaparken,Vantaa
3966,Riitantie,Ritavägen,Vantaa
3967,Riitenotko,Isskorpsdälden,Vantaa
3968,Riitukki,Rituk,Vantaa
3969,Rikunkuja,Rikugränden,Vantaa
3970,Rillitie,Rillvägen,Vantaa
3971,Rillitori,Rilltorget,Vantaa
3972,Rimakuja,Ribbgränden,Vantaa
3973,Rimapuisto,Ribbparken,Vantaa
3974,Rimpitie,Dymossevägen,Vantaa
3975,Ringhinpuisto,Ringhsparken,Vantaa
3976,Rinnekuja,Brantgränden,Vantaa
3977,Rinnepuisto,Brinkparken,Vantaa
3978,Rinnetie,Brantvägen,Vantaa
3979,Rintamamiehenpuisto,Frontmannaparken,Vantaa
3980,Rintapolku,Släntstigen,Vantaa
3981,Rintapuisto,Släntparken,Vantaa
3982,Rintatie,Släntvägen,Vantaa
3983,Rintelä,Rintelä,Vantaa
3984,Rinteläntie,Rintelävägen,Vantaa
3985,Riskiläkuja,Grisslagränden,Vantaa
3986,Riskilätie,Grisslavägen,Vantaa
3987,Ristipuro,Ristipuro,Vantaa
3988,Ristiraja,Korsrån,Vantaa
3989,Ristisillanlammet,Korsbrodammarna,Vantaa
3990,Ristisillanpuisto,Korsbroparken,Vantaa
3991,Ristisilta,Korsbron,Vantaa
3992,Ristonpolku,Ristostigen,Vantaa
3993,Risukarhi,Risharven,Vantaa
3994,Ritakuja,Fällgränden,Vantaa
3995,Ritapuisto,Fällparken,Vantaa
3996,Ritarikuja,Riddargränden,Vantaa
3997,Ritarimäki,Riddarbacken,Vantaa
3998,Ritaripolku,Riddarstigen,Vantaa
3999,Ritaririnne,Riddarbrinken,Vantaa
4000,Ritaritie,Riddarvägen,Vantaa
4001,Ritinäpiha,Knastergården,Vantaa
4002,Ritinäraitti,Knasterstråket,Vantaa
4003,Ritvanpolku,Ritvastigen,Vantaa
4004,Ritvanpuisto,Ritvaparken,Vantaa
4005,Ritvantie,Ritvavägen,Vantaa
4006,Robert Huberin polku,Robert Hubers stig,Vantaa
4007,Roikko,0,Vantaa
4008,Rokkolannotko,Råkulladälden,Vantaa
4009,Rokkolanoja,Råkullabäcken,Vantaa
4010,Rönnkulla,Rönnkulla,Vantaa
4011,Ropinakuja,Smattergränden,Vantaa
4012,Ropinapiha,Smattergården,Vantaa
4013,Ropinaraitti,Smatterstråket,Vantaa
4014,Rosbacka,Rosbacka,Vantaa
4015,Rosendalinkuja,Rosendalsgränden,Vantaa
4016,Rosendalinrinki,Rosendalsringen,Vantaa
4017,Rosenlund,Rosenlund,Vantaa
4018,Rosenlundinpolku,Rosenlundsstigen,Vantaa
4019,Rosenlundintie,Rosenlundsvägen,Vantaa
4020,Rouskukuja,Riskagränden,Vantaa
4021,Roussalo,Roussalo,Vantaa
4022,Roussalonoja,Roussalobäcken,Vantaa
4023,Roxängen,Roxängen,Vantaa
4024,Roxinoja,Roxbäcken,Vantaa
4025,Rubiinikehä,Rubinringen,Vantaa
4026,Rubiinikuja,Rubingränden,Vantaa
4027,Rubiinipuisto,Rubinparken,Vantaa
4028,Ruhansilta ,Ruhabron,Vantaa
4029,Ruhantie,Ruhavägen,Vantaa
4030,Ruiskukankuja,Rågblomsgränden,Vantaa
4031,Ruispolku,Rågstigen,Vantaa
4032,Ruispuisto,Rågparken,Vantaa
4033,Rukinlapa,Spinnrockshuvudet,Vantaa
4034,Rukinpyörä,Spinnrockshjulet,Vantaa
4035,Rukkitie,Spinnrocksvägen,Vantaa
4036,Rumpalintie,Trumslagarvägen,Vantaa
4037,Rumpukuja,Trumgränden,Vantaa
4038,Runkokuja,Stamgränden,Vantaa
4039,Runkotie,Stamvägen,Vantaa
4040,Runotie,Diktvägen,Vantaa
4041,Ruokkitie,Tordmulsvägen,Vantaa
4042,Ruokokuja,Vassgränden,Vantaa
4043,Ruokopolku,Vasstigen,Vantaa
4044,Ruokotie,Vassvägen,Vantaa
4045,Ruostekuja,Rostgränden,Vantaa
4046,Ruostepuisto,Rostparken,Vantaa
4047,Ruotsinpiha,Sverigegården,Vantaa
4048,Ruotsinpuisto,Sverigeparken,Vantaa
4049,Ruotsintie,Sverigevägen,Vantaa
4050,Ruskarinne,Ruskabrinken,Vantaa
4051,Ruskeasannan hautausmaa,Rödsands begravningsplats,Vantaa
4052,Ruskeasannanlammet,Rödsandspottarna,Vantaa
4053,Ruskeasannanoja,Rödsandsbäcken,Vantaa
4054,Ruskeasannanpuisto,Rödsandsparken,Vantaa
4055,Ruskeasannantie,Rödsandsvägen,Vantaa
4056,Ruskeasanta,Rödsand,Vantaa
4057,Ruskokuja,Brungränden,Vantaa
4058,Rusojuurenkuja,Sminkrotsgränden,Vantaa
4059,Rusojuurentie,Sminkrotsvägen,Vantaa
4060,Rusokallio,Brunaberget,Vantaa
4061,Rusokallionpolku,Brunabergsstigen,Vantaa
4062,Rusokalliontie,Brunabergsvägen,Vantaa
4063,Rutarsinpolku,Rutarsstigen,Vantaa
4064,Rutikanpolku,Rutikkastigen,Vantaa
4065,Ruuhilaituri,Stockbåtsbryggan,Vantaa
4066,Ruuhipiha,Stockbåtsgården,Vantaa
4067,Ruukinranta,Brukstranden,Vantaa
4068,Ruukkukuja,Krukgränden,Vantaa
4069,Ruukkupiha,Krukgården,Vantaa
4070,Ruukkupolku,Krukstigen,Vantaa
4071,Ruukkutori,Kruktorget,Vantaa
4072,Ruukuntekijäntie,Krukmakarvägen,Vantaa
4073,Ruunikkokuja,Bruntegränden,Vantaa
4074,Ruusukvartsinkatu,Rosenkvartsgatan,Vantaa
4075,Ruusukvartsinkuja,Rosenkvartsgränden,Vantaa
4076,Ruusukvartsinpolku,Rosenkvartsstigen,Vantaa
4077,Ruusumäenkuja,Rosbackagränden,Vantaa
4078,Ruusumäenraitti,Rosbackastråket,Vantaa
4079,Ruusumäentie,Rosbackavägen,Vantaa
4080,Ruusupuunpiha,Rosenträdsgården,Vantaa
4081,Ruusupuunpuisto,Rosenträdsparken,Vantaa
4082,Ruusutie,Rosvägen,Vantaa
4083,Ruusuvuorenkuja,Rosenbergsgränden,Vantaa
4084,Ruusuvuorenmäki,Rosenbergsbacken,Vantaa
4085,Ruusuvuorenpolku,Rosenbergsstigen,Vantaa
4086,Ruusuvuorenrinne,Rosenbergsbrinken,Vantaa
4087,Ruutanakuja,Rudgränden,Vantaa
4088,Ruutinkoski,Grotensfors,Vantaa
4089,Ruutintie,Grotensvägen,Vantaa
4090,Ruutulippu,Målflaggan,Vantaa
4091,Ruutulipunkuja,Målflaggsgränden,Vantaa
4092,Ruutulipunpuisto,Målflaggsparken.,Vantaa
4093,Ruuvikuja,Skruvgränden,Vantaa
4094,Ruuvipolku,Skruvstigen,Vantaa
4095,Ruuvitie,Skruvvägen,Vantaa
4096,Rypsipolku,Rypsstigen,Vantaa
4097,Ryssberget,Ryssberget,Vantaa
4098,Rystypolku,Backhandsstigen,Vantaa
4099,Ryytimaa,Kryddgården,Vantaa
4100,Ryytimaantie,Kryddgårdsvägen,Vantaa
4101,Ryytipolku,Kryddstigen,Vantaa
4102,Saagakuja,Sagagränden,Vantaa
4103,Saagapolku,Sagastigen,Vantaa
4104,Saagapuisto,Sagaparken,Vantaa
4105,Saagatie,Sagavägen,Vantaa
4106,Saaliskuja,Jaktbytesgränden,Vantaa
4107,Saalispuisto,Jaktbytesparken,Vantaa
4108,Saalistie,Jaktbytesvägen,Vantaa
4109,Saarantie,Saravägen,Vantaa
4110,Saarioinen Oy,0,Vantaa
4111,Saaristo,Saaristo,Vantaa
4112,Saarisuonoja,Holmmossbäcken,Vantaa
4113,Saarniharjunkuja,Askåsgränden,Vantaa
4114,Saarnikuja,Askgränden,Vantaa
4115,Saarnirinne,Askbrinken,Vantaa
4116,Saarnitie,Askvägen,Vantaa
4117,Sääskenpuisto,Sääskiparken,Vantaa
4118,Sääskikuja,Myggränden,Vantaa
4119,Sääskipolku,Myggstigen,Vantaa
4120,Sääskitie,Myggvägen,Vantaa
4121,Säätökuja,Ställgränden,Vantaa
4122,Sadepolku,Regnstigen,Vantaa
4123,Säekuja,Versgränden,Vantaa
4124,Safiiriaukio,Safirplatsen,Vantaa
4125,Safiirikuja,Safirgränden,Vantaa
4126,Safiiripolku,Safirstigen,Vantaa
4127,Sahakuja,Såggränden,Vantaa
4128,Sahamäenkaari,Sågbacksbågen,Vantaa
4129,Sahamäenkuja,Sågbacksgränden,Vantaa
4130,Sahamäenpuisto,Sågbacksparken,Vantaa
4131,Sahamäentie,Sågbacksvägen,Vantaa
4132,Sahamäki,Sågbacka,Vantaa
4133,Sahapolku,Sågstigen,Vantaa
4134,Sahapuisto,Sågparken,Vantaa
4135,Sahatie,Sågvägen,Vantaa
4136,Sähkömetsä,Sähkömetsä,Vantaa
4137,Sähkötie,Elvägen,Vantaa
4138,Sahrapolku,Årderstigen,Vantaa
4139,Sahrapuisto,Årderparken,Vantaa
4140,Sahratie,Årdervägen,Vantaa
4141,Säiläpuisto,Sabelparken,Vantaa
4142,Säilätie,Sabelvägen,Vantaa
4143,Sairaalakatu,Sjukhusgatan,Vantaa
4144,Säkäkuja,Mankgränden,Vantaa
4145,Sakarakuja,Spetsgränden,Vantaa
4146,Sakarinkuja,Sakarigränden,Vantaa
4147,Sakarintie,Sakarivägen,Vantaa
4148,Sakastipolku,Sakrististigen,Vantaa
4149,Sakastipuisto,Sakristiparken,Vantaa
4150,Saksalainen sotilashautausmaa,Tyska soldatbegravningsplatsen,Vantaa
4151,Saksipolku,Saxstigen,Vantaa
4152,Salakkakuja,Löjgränden,Vantaa
4153,Salas,Salas,Vantaa
4154,Säle,Spjälan,Vantaa
4155,Salkolankuja,Salkolagränden,Vantaa
4156,Salkolanpuisto,Salkolaparken,Vantaa
4157,Salkolantie,Salkolavägen,Vantaa
4158,Salpakuja,Regelgränden,Vantaa
4159,Sälpäkuja,Spatgränden,Vantaa
4160,Sälpämaa,Spatmarken,Vantaa
4161,Salpapuisto,Regelparken,Vantaa
4162,Sälpäpuisto,Spatparken,Vantaa
4163,Sälpätie,Spatvägen,Vantaa
4164,Sammalleimunpuisto,Mossfloxparken,Vantaa
4165,Sammalpolku,Mosstigen,Vantaa
4166,Sammaltie,Mossvägen,Vantaa
4167,Sampikuja,Störgränden,Vantaa
4168,Sampirinne,Störbrinken,Vantaa
4169,Sampola,Sampola,Vantaa
4170,Sampolantie,Sampolavägen,Vantaa
4171,Sampsankuja,Sampsagränden,Vantaa
4172,Sampsanpolku,Sampsastigen,Vantaa
4173,Samuel Broteruksen puisto,Samuel Broterus park,Vantaa
4174,Sananjalanpolku,Örnbräksstigen,Vantaa
4175,Sananjalantie,Örnbräksvägen,Vantaa
4176,Sandbacka,Sandbacka,Vantaa
4177,Sandbackanoja,Sandbackabäcken,Vantaa
4178,Sandbackanraitti,Sandbackastråket,Vantaa
4179,Sandbackantori,Sandbackatorget,Vantaa
4180,Sandi,Sandis,Vantaa
4181,Saniaispolku,Ormbunksstigen,Vantaa
4182,Sankarikuja,Hjältegränden,Vantaa
4183,Sänkikuja,Sädestubbsgränden,Vantaa
4184,Sänkipuisto,Sädesstubbsparken,Vantaa
4185,Sanomakulma,Tidningsvinkeln,Vantaa
4186,Sanomatie,Tidningsvägen,Vantaa
4187,Santakuopanlampi,Sandgropspotten,Vantaa
4188,Santakuopantie,Sandgropsvägen,Vantaa
4189,Santamäenkuja,Sandbacksgränden,Vantaa
4190,Santamäentie,Sandbacksvägen,Vantaa
4191,Santamalmi,Sandmalmen,Vantaa
4192,Santaradanniitty,Sandbansängen,Vantaa
4193,Santaradanpolku,Sandbansstigen,Vantaa
4194,Santaradantie,Sandbanan,Vantaa
4195,Santuntie,Santtuvägen,Vantaa
4196,Saraksenoja,Sarasbäcken,Vantaa
4197,Saraksentie,Sarasvägen,Vantaa
4198,Sarakuja,Starrgränden,Vantaa
4199,Saras,Saras,Vantaa
4200,Sarastuspolku,Gryningsstigen,Vantaa
4201,Saratie,Starrvägen,Vantaa
4202,Sarinpolku,Saristigen,Vantaa
4203,Sarkaniitty,Filängen ,Vantaa
4204,Sarkapolku,Tegstigen,Vantaa
4205,Sarkatie,Tegvägen,Vantaa
4206,Särkikuja,Mörtgränden,Vantaa
4207,Särkitie,Mörtvägen,Vantaa
4208,Särkkäkuja,Revgränden,Vantaa
4209,Saroxnäset,Saroxnäset,Vantaa
4210,Sarvijaakonkuja,Hornbaggsgränden,Vantaa
4211,Sarvijaakonpolku,Hornbaggsstigen,Vantaa
4212,Sarvijaakontie,Hornbaggsvägen,Vantaa
4213,Sarvijaakonvalli,Hornbaggsvallen,Vantaa
4214,Satakielenaukio,Näktergalsplatsen,Vantaa
4215,Satakielenkuja,Näktergalsgränden,Vantaa
4216,Satakielenpuisto,Näktergalsparken,Vantaa
4217,Satakielentie,Näktergalsvägen,Vantaa
4218,Sateenkaarenpuisto,Regnbågsparken,Vantaa
4219,Sateenkaarensilta,Regnbågsbron,Vantaa
4220,Sateenkaari,Regnbågen,Vantaa
4221,Säterinkatu,Sätersgatan,Vantaa
4222,Säterinpolku,Säterstigen,Vantaa
4223,Säteritilankatu,Sätesgårdsgatan,Vantaa
4224,Satomäenkuja,Brännmalmsgränden,Vantaa
4225,Satomäenranta,Brännmalmsstranden,Vantaa
4226,Satomäentie,Brännmalmsvägen,Vantaa
4227,Satomäki,Brännmalmen,Vantaa
4228,Satopolku,Skördstigen,Vantaa
4229,Satopuisto,Skördparken,Vantaa
4230,Satukuja,Sagogränden,Vantaa
4231,Satulakuja,Sadelgränden,Vantaa
4232,Satuoja,Sagobäcken,Vantaa
4233,Satupolku,Sagostigen,Vantaa
4234,Satupuisto,Sagoparken,Vantaa
4235,Saturnuksenkuja,Saturnusgränden,Vantaa
4236,Saturnuksenpolku,Saturnusstigen,Vantaa
4237,Saturnuksenpuisto,Saturnusparken,Vantaa
4238,Saturnuksenrinne,Saturnusbrinken,Vantaa
4239,Satutie,Sagovägen,Vantaa
4240,Saukkokuja,Uttergränden,Vantaa
4241,Saukkorinne,Utterbrinken,Vantaa
4242,Saumapolku,Sömstigen,Vantaa
4243,Saunalenkki,Bastulänken,Vantaa
4244,Sauniokuja,Kamomillgränden,Vantaa
4245,Sauniopuisto,Kamomillparken,Vantaa
4246,Sauniotie,Kamomillvägen,Vantaa
4247,Sauramontie,Kullavägen,Vantaa
4248,Sauvatie,Stavvägen,Vantaa
4249,Säveltie,Tonvägen,Vantaa
4250,Savikiventie,Lerstensvägen,Vantaa
4251,Savikkakuja,Mållagränden,Vantaa
4252,Savikkapuisto,Mållaparken,Vantaa
4253,Savikkatie,Mållavägen,Vantaa
4254,Savimaantie,Savimaavägen,Vantaa
4255,Saviontie,Saviovägen,Vantaa
4256,Savukvartsinkatu,Rökkvartsgatan,Vantaa
4257,Säynetie,Idvägen,Vantaa
4258,Seijantie,Seijavägen,Vantaa
4259,Seitsemästie,Sjunde vägen,Vantaa
4260,Seiväskuja,Stavhoppsgränden,Vantaa
4261,Seiväspolku,Stavhoppsstigen,Vantaa
4262,Seivästie,Stavhoppsvägen,Vantaa
4263,Seliminkuja,Selimsgränden,Vantaa
4264,Seljapolku,Fläderstigen,Vantaa
4265,Sellerikuja,Sellerigränden,Vantaa
4266,Sellokuja,Cellogränden,Vantaa
4267,Sepänmäki,Smedsbacken,Vantaa
4268,Sepänniitty,Sepänniitty,Vantaa
4269,Sepänpiha,Smedsgården,Vantaa
4270,Sepänrinne,Smedsbrinken,Vantaa
4271,Seponpolku,Seppostigen,Vantaa
4272,Sepontie,Seppovägen,Vantaa
4273,Seppälä,Seppälä,Vantaa
4274,Seppälänkuja,Smedsgränden,Vantaa
4275,Seppäläntie,Smedsvägen,Vantaa
4276,SERPENTIINIKIVENKATU,SERPENTINSTENSGATAN,Vantaa
4277,SERPENTIINIKIVENKUJA,SERPENTINSTENSGRÄNDEN,Vantaa
4278,SERPENTIINIKIVENPOLKU,SERPENTINSTENSSTIGEN,Vantaa
4279,SERPENTIINIKIVENPUISTO,SERPENTINSTENSPARKEN,Vantaa
4280,Seulastenpolku,Plejadernas stig,Vantaa
4281,Seulastentie,Plejadernas väg,Vantaa
4282,Seutula,Sjöskog,Vantaa
4283,Seutulan Isoniittu,Sjöskogs Storängen,Vantaa
4284,Seutulankoski,Sjöskogsforsen,Vantaa
4285,Siemenpolku,Fröstigen,Vantaa
4286,Sienestäjänkuja,Svampplockargränden,Vantaa
4287,Sienestäjänpolku,Svampplockarstigen,Vantaa
4288,Sienikuja,Svampgränden,Vantaa
4289,Sieppokuja,Flugsnappargränden,Vantaa
4290,Siepporinne,Flugsnapparbrinken,Vantaa
4291,Sieppotie,Flugsnapparvägen,Vantaa
4292,Siikakuja,Sikgränden,Vantaa
4293,Siikapuisto,Sikparken,Vantaa
4294,Siikarinne,Sikbrinken,Vantaa
4295,Siikatie,Sikvägen,Vantaa
4296,Siilipuisto,Igelkottsparken,Vantaa
